Name,Address,City,State,Zipcode,Phone,Type
SWIG,1469 N MILWAUKEE,CHICAGO,IL,60622,7733841439,Draft
MANITOWOC HISTORICAL SOCY,1701 MICHIGAN AVENUE,MANITOWOC,WI,54220,9206844445,Draft
ANNEX (THE),39918 93RD STREET,GENOA CITY,WI,53128,2622796794,Draft
BAYERN STUBE  INC.,209 N SANGAMON,GIBSON CITY,IL,60936,2174172084,Draft
CAFE 20  10/13,756 GRANT STREET,MARENGO,IL,60152,18155685653,Draft
SPECKLED HEN TAVERN,9475 PHILLIPS HWY STE 16,JACKSONVILLE,FL,32256,9048601099,Draft
LAKE WINE & SPIRITS,180 MAIN ST SOUTH,SOUTHBURY,CT,06488,2032648891,Draft
GROVE LIQUOR MART,1118 15TH AVENUE,UNION GROVE,WI,53182,2628783833,Draft
GERMAN SCHNITZEL HAUS,13245 ATLANTIC BLVD STE 1,JACKSONVILLE,FL,32250,9042460009,Draft
THIRD RAIL TAVERN,1133 W MADISON,CHICAGO,IL,60607,4804198837,Draft
MATT HANSON,2100 A JACKSON AVE,HUNTSVILLE,AL,35805,0,Draft
BRIGADOON'S,5748 W LAWRENCE AVE,CHICAGO,IL,60630,17737772403,Draft
ROTARY CLUB OF CARROLL CR,797 E PATRICK ST,FREDERICK,MD,21701,3016209101,Draft
KELLEHERS IRISH PUB & EAT,619 SW WATER STREET,PEORIA,IL,61602,3093602533,Draft
FRANCE 44 WINE & SPRITS,4351 FRANCE AVE SO,MINNEAPOLIS,MN,55410,6129253252,Draft
GERMANIC - AMERICAN,301 SUMMIT AVE,ST. PAUL,MN,55101,6512227027,Draft
HOOPERS SPORTS BAR&GRILL INC.,975 N. MCLEAN BLVD.,ELGIN,IL,60123,8478880094,Draft
PORT O' CALL,310 MILWAUKEE ST,KEWAUNEE,WI,54216,19203884883,Draft
TENUTAS WINE AND LIQUOR,3203 52ND STREET,KENOSHA,WI,53142,2626579001,Draft
COPPER HOUSE TAVERN,380 WINTER STREET,WALTHAM,MA,02451,17818908989,Draft
BAR LOUIE - MISHAWAKA,6501 N GRAPE ROAD SUITE 1000,MISHAWAKA,IN,46545,5742779100,Draft
ACME DRAFT HOUSE,439 ATLANTIC CITY BLVD,BAYVILLE,NJ,08721,7326541188,Draft
GINGERMAN PLANO PRIVATE CLUB,7205  BISHOP,PLANO,TX,750243627,4698148299,Draft
GRUMPY'S ITALIAN GRILL,402 9TH STREET SW,CULLMAN,AL,35055,2567342544,Draft
BLARNEY STONE  THE,408 EAST MAIN AVE.,BISMARCK,ND,58501,7017517512,Draft
MACBEEBS LLC DBA FARMSTEAD,W62 N238 WASHINGTON AVE,CEDARBURG,WI,53012 276,2623752655,Draft
508 CLUB,508 FIRST AVE,MINNEAPOLIS,MN,55403,6123390036,Draft
EAGLE RIVER INN,5260 HWY 70 WEST,EAGLE RIVER,WI,54521,7154792000,Draft
GRUMPY'S-ROSEVILLE,2801 NO. SNELLING AVENUE,ROSEVILLE,MN,55113,6513791180,Draft
SOUTH LYNDALE LIQUOR,5300 LYNDALE AVE SO,MINNEAPOLIS,MN,55419,6128275811,Draft
WOODEN KEG,2207 JEFFERSON BLVD.,HAGERSTOWN,MD,21740,3017336594,Draft
DISCOUNT DRINKS,2811 FORT,WYANDOTTE,MI,48192,7342823800,Draft
JOE CANALS DISC LIQ LAWRE,3375 ROUTE 1  SUITE 2,LAWRENCEVILLE,NJ,08648,6095200008,Draft
ON THE ROCKS,W282 N7149 MAIN ST,MERTON,WI,53056,2625389941,Draft
JOSHUA TREE,256 ELM ST,SOMERVILLE,MA,02144,6176239910,Draft
BREWER'S OUTLET-PHILADELPHIA-GERMAN,7401 GERMANTOWN AVE,PHILADELPHIA,PA,19119,2152471265,Draft
FRANKFORD HALL,1210-22 FRANKFORD AVE,PHILADELPHIA,PA,19125,2156343338,Draft
GINA'S SPORTS DOCK,W278 N2345 PROSPECT,PEWAUKEE,WI,53072 521,2626959600,Draft
