Retail Account(s),ADDR(s),CITY(s),STATE(s),ZIP9(s),PHON(s),Draft\Package(s)
KATIE PLAZA LIQUOR  LLC,594 WEST COLUMBIA AVE,BATTLE CREEK,MI,49015,2698303217,Package
FAMILY FARE #1999 VICKSBU,120 W. PRAIRIE,VICKSBURG,MI,49097,2696491698,Package
OAKVIEW PARTY STORE,42256 PALMER ROAD,CANTON,MI,48188,7343973630,Package
AMORIS MARKET,26122 JOHN R,MADISON HEIGHTS,MI,48071,2485443313,Package
MURRAY'S,115 MAIN ST,EAST JORDAN,MI,49727,2315363395,Package
RIC'S FOOD CENTER,6767 BELDING RD N.E,ROCKFORD,MI,49341,6168743488,Package
MAYFLOWER PARTY STORE,824 S. MAIN,PLYMOUTH,MI,48170,7344556630,Package
OMAR'S BAR,18 SOUTH MONROE,COLDWATER,MI,49036,5172782087,Package
BURRITT'S,509 W FRONT SY,TRAVERSE CITY,MI,49684,2319463300,Package
CRUSHED GRAPE,2869 KNAPP ST NE,GRAND RAPIDS,MI,49525,0,Package
OLD MISSION DELI & BEV. C,5030 S. MISSION RD,MT PLEASANT,MI,48858,9897722870,Package
DAN'S TAVERN,124 W. MICHIGAN AVE.,CLINTON,MI,49236,5174564267,Package
ORION KEG & WINE,2250 S BALDWIN RD,ORION TOWNSHIP,MI,48360,2483911490,Package
MARTHA'S VINEYARD,200 UNION NE,GRAND RAPIDS,MI,49503,6164590911,Package
ZETOUNA'S,3793 S ROCHESTER RD,ROCHESTER HILLS,MI,48307,2488535454,Package
WATER FRONT BAR & GRILL,325 CITY MARKET DR,LANSING,MI,48912,5178037787,Package
WINE SELLER,2721 PLYMOUTH ROAD,ANN ARBOR,MI,48103,7346688086,Package
8 DEGREE PLATO BEER CO.,611 W. 9 MILE ROAD,FERNDALE,MI,48220,3136188564,Package
FAMOUS MARKET,9610 HIGHLAND,WHITE LAKE,MI,48363,2486983958,Package
MIKE'S BEER WORLD,2041 S ORTONVILLE RD,ORTONVILLE,MI,48462,2489822437,Package
BOTTLES & STUFF,15365 NEWBURGH ROAD,LIVONIA,MI,48154,7344643222,Package
WINE PALACE,13971 MIDDLEBELT RD,LIVONIA,MI,48154,7345224400,Package
MERCHANT'S WAREHOUSE,22250 MICHIGAN AVENUE,DEARBORN,MI,48124,3135638700,Package
SUNOCO - BURTON,1117 S BELSAY RD,BURTON,MI,48509,8109999999,Package
SURDYK'S LIQUOR,303 HENNEPIN AVE E,MINNEAPOLIS,MN,55414,6123793232,Package
VICTORY 44,2203 44TH AVE N,MINNEAPOLIS,MN,55412,6125882228,Package
CHICAGO LAKE LIQUOR,825 E LAKE ST,MINNEAPOLIS,MN,55407,6128254401,Package
THE HOTEL MINNEAPOLIS,215 4TH ST S,MINNEAPOLIS,MN,55401,6123402000,Package
STINSON WINE & SPIRITS,2315 18TH AVE NE,MINNEAPOLIS,MN,55418,0,Package
FRANCE 44 WINE & SPIRITS,4351 FRANCE AVE S,MINNEAPOLIS,MN,55410,6129253252,Package
MERWIN LIQUORS,700 W BROADWAY,MINNEAPOLIS,MN,55411,6125223608,Package
